b aACaa;6;acCCbcBb;50.02
b aACaa;58;aa c  CaB A C bA b AB BaAa  BBcA;50.02
caaBCcC;58;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.38
b aACaa;58;acCCbcBb;50.99
caaBCcC;87;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.38
caaBCcC;30;aa c  CaB A C bA b AB BaAa  BBcA;50.38
b aACaa;120;acCCbcBb;50.99
caaBCcC;30;aa c  CaB A C bA b AB BaAa  BBcA;50.99
AcA aAAbCCBCbbc;30;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.38
b aACaa;120;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.99
AcA aAAbCCBCbbc;6;C c CA cbB Bc  cb cC aABCBB  Cc;50.02
caaBCcC;58;aa c  CaB A C bA b AB BaAa  BBcA;50.99
AcA aAAbCCBCbbc;120;C c CA cbB Bc  cb cC aABCBB  Cc;50.02
AcA aAAbCCBCbbc;6;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.02
caaBCcC;58;C c CA cbB Bc  cb cC aABCBB  Cc;50.38
b aACaa;30;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.02
b aACaa;58;C c CA cbB Bc  cb cC aABCBB  Cc;50.99
AcA aAAbCCBCbbc;30;acCCbcBb;50.02
AcA aAAbCCBCbbc;87;aa c  CaB A C bA b AB BaAa  BBcA;50.02
caaBCcC;120;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.02
b aACaa;120;C c CA cbB Bc  cb cC aABCBB  Cc;50.99
caaBCcC;6;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.02
b aACaa;87;aa c  CaB A C bA b AB BaAa  BBcA;50.02
b aACaa;87;acCCbcBb;50.99
AcA aAAbCCBCbbc;30;C c CA cbB Bc  cb cC aABCBB  Cc;50.38
b aACaa;6;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.99
b aACaa;6;C c CA cbB Bc  cb cC aABCBB  Cc;50.02
b aACaa;120;C c CA cbB Bc  cb cC aABCBB  Cc;50.38
b aACaa;87;C c CA cbB Bc  cb cC aABCBB  Cc;50.02
caaBCcC;58;C c CA cbB Bc  cb cC aABCBB  Cc;50.99
b aACaa;30;C c CA cbB Bc  cb cC aABCBB  Cc;50.02
b aACaa;120;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.38
caaBCcC;120;acCCbcBb;50.99
b aACaa;120;acCCbcBb;50.38
b aACaa;120;C c CA cbB Bc  cb cC aABCBB  Cc;50.02
caaBCcC;6;aa c  CaB A C bA b AB BaAa  BBcA;50.02
AcA aAAbCCBCbbc;87;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.02
AcA aAAbCCBCbbc;6;aa c  CaB A C bA b AB BaAa  BBcA;50.38
caaBCcC;87;acCCbcBb;50.38
AcA aAAbCCBCbbc;120;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.38
caaBCcC;30;acCCbcBb;50.38
b aACaa;30;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.99
b aACaa;30;aa c  CaB A C bA b AB BaAa  BBcA;50.38
caaBCcC;87;acCCbcBb;50.99
caaBCcC;87;acCCbcBb;50.02
AcA aAAbCCBCbbc;87;C c CA cbB Bc  cb cC aABCBB  Cc;50.02
AcA aAAbCCBCbbc;30;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.99
AcA aAAbCCBCbbc;58;aa c  CaB A C bA b AB BaAa  BBcA;50.02
b aACaa;87;BCbCB bB CCCccb cbCbc CCb ab AaBaAbbb Cc   AaAac c;50.02
caaBCcC;6;acCCbcBb;50.99
